統計年月,區域別代碼,區域別,村里,戶數,人口數,人口數-男,人口數-女,縣市,鄉鎮市區,平均數,中位數,30歲以下比例,40歲以下比例,70歲以上比例,80歲以上比例
11004,65000010001,新北市板橋區,留侯里,693,1687,806,881,新北市,板橋區,42.524,43,13.87,29.22,10.37,3.5
11004,65000010002,新北市板橋區,流芳里,634,1507,703,804,新北市,板橋區,43.1586,44,13.27,25.55,12.61,5.31
11004,65000010003,新北市板橋區,赤松里,473,1021,479,542,新北市,板橋區,41.2948,42,16.16,28.7,11.95,3.92
11004,65000010004,新北市板橋區,黃石里,532,1298,623,675,新北市,板橋區,40.8975,41,13.33,27.81,11.56,5.32
11004,65000010005,新北市板橋區,挹秀里,874,2028,991,1037,新北市,板橋區,42.5754,43,13.56,27.91,11.79,4.54
11004,65000010006,新北市板橋區,湳興里,2265,5282,2511,2771,新北市,板橋區,42.8605,43,14.62,31.37,10.05,3.45
11004,65000010007,新北市板橋區,新興里,1542,3245,1546,1699,新北市,板橋區,44.0644,44,14.73,31.34,12.02,3.94
11004,65000010008,新北市板橋區,社後里,5600,9890,5598,4292,新北市,板橋區,47.3022,49,12.51,27.06,12.01,4.04
11004,65000010009,新北市板橋區,香社里,1700,4440,2196,2244,新北市,板橋區,42.5745,42,16.55,33.06,9.68,2.59
11004,65000010010,新北市板橋區,中正里,2147,5301,2581,2720,新北市,板橋區,40.1154,40,14.88,35.96,7.92,1.77
11004,65000010011,新北市板橋區,自強里,2082,5269,2576,2693,新北市,板橋區,44.6728,45,12.07,28.37,14.44,3.97
11004,65000010012,新北市板橋區,自立里,1114,2855,1369,1486,新北市,板橋區,43.7023,43,14.61,31.56,11.98,2.7
11004,65000010013,新北市板橋區,光華里,1132,2757,1341,1416,新北市,板橋區,43.9764,44,14.62,29.78,11.72,4.03
11004,65000010014,新北市板橋區,國光里,1562,3773,1812,1961,新北市,板橋區,46.1026,48,17.15,30.11,13.57,5.04
11004,65000010015,新北市板橋區,港尾里,1120,3022,1440,1582,新北市,板橋區,40.8647,41,14.89,30.87,8.04,2.22
11004,65000010016,新北市板橋區,金華里,1491,4079,1993,2086,新北市,板橋區,42.4366,42,14.46,31.87,10.96,2.94
11004,65000010017,新北市板橋區,港德里,1930,4810,2361,2449,新北市,板橋區,43.6705,43,15.16,30.54,12.58,3.72
11004,65000010018,新北市板橋區,民權里,1087,2645,1270,1375,新北市,板橋區,45.6998,46,13.46,28.2,15.31,5.18
11004,65000010019,新北市板橋區,建國里,1429,3598,1722,1876,新北市,板橋區,43.5345,43,15.76,30.85,12.59,3.53
11004,65000010020,新北市板橋區,漢生里,1722,4419,2143,2276,新北市,板橋區,42.7386,43,11.43,27.52,12.2,3.69
11004,65000010021,新北市板橋區,公舘里,1519,4023,1993,2030,新北市,板橋區,41.96,42,15.36,30.25,11.48,3.73
11004,65000010022,新北市板橋區,新民里,1754,4605,2228,2377,新北市,板橋區,41.2664,42,12.51,27.21,10.71,3.21
11004,65000010023,新北市板橋區,幸福里,1548,4025,1977,2048,新北市,板橋區,43.283,43,15.43,31.93,12.02,3.38
11004,65000010024,新北市板橋區,忠誠里,1788,4444,2130,2314,新北市,板橋區,43.1699,44,13.14,26.96,12.13,5.02
11004,65000010025,新北市板橋區,百壽里,1255,3033,1396,1637,新北市,板橋區,40.2334,41,12.66,26.44,10.45,3.0
11004,65000010026,新北市板橋區,介壽里,1296,3278,1546,1732,新北市,板橋區,41.6592,43,11.9,25.5,11.74,3.78
11004,65000010027,新北市板橋區,新埔里,890,2127,1045,1082,新北市,板橋區,44.779,45,15.09,30.32,13.45,3.39
11004,65000010028,新北市板橋區,華江里,3278,7995,3689,4306,新北市,板橋區,38.7335,40,12.98,27.9,7.65,2.1
11004,65000010029,新北市板橋區,江翠里,2115,5307,2610,2697,新北市,板橋區,42.8119,43,15.73,32.18,10.25,3.01
11004,65000010030,新北市板橋區,純翠里,2106,5564,2651,2913,新北市,板橋區,42.3197,42,14.85,31.9,9.38,2.17
11004,65000010031,新北市板橋區,溪頭里,2644,6383,3113,3270,新北市,板橋區,42.1015,43,16.28,31.98,9.43,2.98
11004,65000010032,新北市板橋區,聯翠里,1676,3785,1776,2009,新北市,板橋區,44.1379,46,14.4,27.11,11.18,3.25
11004,65000010033,新北市板橋區,宏翠里,2519,5512,2606,2906,新北市,板橋區,41.248,42,14.06,32.09,7.15,1.71
11004,65000010034,新北市板橋區,仁翠里,1106,2913,1411,1502,新北市,板橋區,44.0886,43,14.32,30.66,12.12,2.99
11004,65000010035,新北市板橋區,新翠里,3275,8312,3960,4352,新北市,板橋區,41.2061,42,16.28,33.08,7.33,1.5
11004,65000010036,新北市板橋區,吉翠里,1398,3846,1862,1984,新北市,板橋區,41.7499,41,15.52,33.8,8.89,1.77
11004,65000010037,新北市板橋區,德翠里,2743,7439,3644,3795,新北市,板橋區,39.8757,41,17.42,33.0,5.91,1.44
11004,65000010038,新北市板橋區,滿翠里,1152,3031,1451,1580,新北市,板橋區,43.8928,44,14.98,31.38,11.84,2.71
11004,65000010039,新北市板橋區,明翠里,1977,4865,2370,2495,新北市,板橋區,44.1955,44,14.18,30.34,11.78,3.41
