縣市,鄉鎮市區,村里,valid_ticket,agree_ticket,disagree_ticket,invalid_ticket,vote_ticket,votable_population,population,vote_to_votable,agree_to_votable
臺北市,松山區,莊敬里,2011,1119,892,21,2032,4467,0,45.49,25.05
臺北市,松山區,東榮里,3395,1778,1617,19,3414,6468,0,52.78,27.49
臺北市,松山區,三民里,2933,1693,1240,16,2949,5723,0,51.53,29.58
臺北市,松山區,新益里,1996,1066,930,9,2005,3881,0,51.66,27.47
臺北市,松山區,富錦里,2168,1197,971,21,2189,4281,0,51.13,27.96
臺北市,松山區,新東里,2049,1134,915,18,2067,4135,0,49.99,27.42
臺北市,松山區,富泰里,1883,1167,716,17,1900,3884,0,48.92,30.05
臺北市,松山區,介壽里,1787,930,857,18,1805,3540,0,50.99,26.27
臺北市,松山區,精忠里,1784,997,787,10,1794,3553,0,50.49,28.06
臺北市,松山區,東光里,3042,1741,1301,19,3061,6051,0,50.59,28.77
臺北市,松山區,龍田里,4277,2847,1430,24,4301,8377,0,51.34,33.99
臺北市,松山區,東昌里,1170,599,571,11,1181,2184,0,54.08,27.43
臺北市,松山區,東勢里,1778,924,854,9,1787,3518,0,50.8,26.26
臺北市,松山區,中華里,2639,1493,1146,29,2668,5140,0,51.91,29.05
臺北市,松山區,民有里,3785,1903,1882,30,3815,7351,0,51.9,25.89
臺北市,松山區,民福里,2827,1684,1143,25,2852,5381,0,53.0,31.3
臺北市,松山區,慈祐里,2742,1312,1430,20,2762,7162,0,38.56,18.32
臺北市,松山區,安平里,3314,1714,1600,33,3347,7230,0,46.29,23.71
臺北市,松山區,鵬程里,2273,1423,850,22,2295,4616,0,49.72,30.83
臺北市,松山區,自強里,3970,2992,978,49,4019,7730,0,51.99,38.71
臺北市,松山區,吉祥里,3376,1838,1538,21,3397,6959,0,48.81,26.41
臺北市,松山區,新聚里,3083,1570,1513,33,3116,6657,0,46.81,23.58
臺北市,松山區,復盛里,2636,1522,1114,24,2660,5286,0,50.32,28.79
臺北市,松山區,中正里,3468,1765,1703,23,3491,7611,0,45.87,23.19
臺北市,松山區,中崙里,1567,830,737,23,1590,3317,0,47.93,25.02
臺北市,松山區,美仁里,1407,684,723,15,1422,2882,0,49.34,23.73
臺北市,松山區,吉仁里,1484,767,717,6,1490,3234,0,46.07,23.72
臺北市,松山區,敦化里,2881,1494,1387,31,2912,5590,0,52.09,26.73
臺北市,松山區,復源里,1332,769,563,10,1342,2642,0,50.79,29.11
