,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第17案同意票數,第17案有效票數,第17案同意率,第18案同意票數,第18案有效票數,第18案同意率,第19案同意票數,第19案有效票數,第19案同意率,第20案同意票數,第20案有效票數,第20案同意率
0,新竹市,東區,關新里,1817,5535453,3046,2596,950.0,1927.0,0.493,981.0,1921.0,0.5107,1088.0,1924.0,0.5655,965.0,1914.0,0.5042
1,新竹縣,竹北市,東平里,5207,12953123,2488,2035,2676.0,5431.0,0.4927,2833.0,5440.0,0.5208,2973.0,5447.0,0.5458,2759.0,5437.0,0.5074
2,新竹縣,竹北市,鹿場里,4342,11179339,2575,1961,2667.0,4845.0,0.5505,2750.0,4848.0,0.5672,2896.0,4846.0,0.5976,2680.0,4846.0,0.553
3,新竹市,東區,龍山里,3875,8962230,2313,1931,2299.0,4327.0,0.5313,2379.0,4321.0,0.5506,2520.0,4325.0,0.5827,2236.0,4320.0,0.5176
4,新竹縣,竹北市,中興里,3114,7851938,2521,1832,2001.0,3799.0,0.5267,2091.0,3796.0,0.5508,2239.0,3790.0,0.5908,2064.0,3788.0,0.5449
5,新竹縣,竹北市,十興里,2897,6073653,2097,1665,1597.0,3046.0,0.5243,1704.0,3045.0,0.5596,1774.0,3055.0,0.5807,1663.0,3049.0,0.5454
6,新竹市,東區,埔頂里,2224,4355057,1958,1607,1320.0,2639.0,0.5002,1360.0,2628.0,0.5175,1459.0,2628.0,0.5552,1305.0,2625.0,0.4971
7,新竹市,東區,豐功里,1711,3973913,2323,1590,1337.0,2283.0,0.5856,1371.0,2290.0,0.5987,1437.0,2295.0,0.6261,1376.0,2287.0,0.6017
8,臺南市,善化區,蓮潭里,1217,2215289,1820,1574,498.0,1371.0,0.3632,497.0,1362.0,0.3649,569.0,1370.0,0.4153,491.0,1365.0,0.3597
9,新竹縣,竹北市,隘口里,1100,2330114,2118,1571,725.0,1311.0,0.553,740.0,1312.0,0.564,795.0,1317.0,0.6036,721.0,1310.0,0.5504
10,新竹縣,竹北市,興安里,1405,2867210,2041,1410,896.0,1473.0,0.6083,907.0,1476.0,0.6145,951.0,1477.0,0.6439,911.0,1472.0,0.6189
11,新竹縣,竹北市,北興里,1990,3591668,1805,1373,1094.0,2184.0,0.5009,1147.0,2189.0,0.524,1229.0,2188.0,0.5617,1123.0,2179.0,0.5154
12,新竹市,東區,東勢里,914,1913612,2094,1366,731.0,1448.0,0.5048,759.0,1448.0,0.5242,808.0,1449.0,0.5576,747.0,1448.0,0.5159
13,新竹縣,竹北市,斗崙里,2825,5440764,1926,1359,1658.0,2994.0,0.5538,1734.0,3000.0,0.578,1813.0,3000.0,0.6043,1689.0,2991.0,0.5647
14,新竹縣,竹北市,中崙里,2526,4770225,1888,1357,1638.0,2827.0,0.5794,1692.0,2827.0,0.5985,1747.0,2828.0,0.6178,1676.0,2826.0,0.5931
15,新竹縣,竹北市,東興里,2728,4661933,1709,1332,1413.0,2845.0,0.4967,1498.0,2850.0,0.5256,1555.0,2848.0,0.546,1441.0,2847.0,0.5061
16,新竹市,東區,東園里,2410,4120416,1710,1322,1355.0,2663.0,0.5088,1450.0,2665.0,0.5441,1504.0,2660.0,0.5654,1402.0,2650.0,0.5291
17,桃園市,龜山區,長庚里,1809,3235708,1789,1317,755.0,1768.0,0.427,801.0,1768.0,0.4531,828.0,1769.0,0.4681,807.0,1768.0,0.4564
18,新竹市,東區,光明里,1239,2723817,2198,1289,944.0,1457.0,0.6479,941.0,1456.0,0.6463,989.0,1456.0,0.6793,962.0,1458.0,0.6598
19,新竹市,東區,科園里,2628,6130592,2333,1212,1895.0,3215.0,0.5894,1954.0,3215.0,0.6078,2007.0,3219.0,0.6235,1929.0,3208.0,0.6013
20,新竹市,東區,綠水里,2362,4328968,1833,1209,1620.0,2868.0,0.5649,1688.0,2882.0,0.5857,1724.0,2876.0,0.5994,1682.0,2868.0,0.5865
21,臺北市,內湖區,寶湖里,3412,7100735,2081,1207,2065.0,3694.0,0.559,2118.0,3701.0,0.5723,2180.0,3693.0,0.5903,2126.0,3686.0,0.5768
22,臺北市,文山區,政大里,2547,4637166,1821,1207,1738.0,3003.0,0.5788,1792.0,3022.0,0.593,1849.0,3014.0,0.6135,1826.0,3013.0,0.606
23,新竹市,東區,仙水里,1721,2910650,1691,1185,1127.0,1989.0,0.5666,1157.0,1989.0,0.5817,1177.0,1988.0,0.5921,1164.0,1992.0,0.5843
24,臺北市,內湖區,金湖里,3572,7588398,2124,1158,2092.0,3782.0,0.5531,2127.0,3787.0,0.5617,2193.0,3787.0,0.5791,2127.0,3788.0,0.5615
25,臺北市,中山區,成功里,2587,5679811,2196,1153,1201.0,2473.0,0.4856,1249.0,2485.0,0.5026,1303.0,2483.0,0.5248,1251.0,2478.0,0.5048
26,新竹縣,寶山鄉,大崎村,765,1493061,1952,1139,559.0,877.0,0.6374,550.0,873.0,0.63,562.0,873.0,0.6438,536.0,872.0,0.6147
27,臺北市,內湖區,南湖里,1976,3440872,1741,1124,1201.0,2133.0,0.5631,1232.0,2141.0,0.5754,1270.0,2144.0,0.5924,1232.0,2144.0,0.5746
28,新北市,新店區,華城里,1020,2028273,1989,1116,773.0,1301.0,0.5942,795.0,1303.0,0.6101,812.0,1303.0,0.6232,807.0,1304.0,0.6189
29,桃園市,蘆竹區,吉祥里,1433,2281636,1592,1108,967.0,1748.0,0.5532,968.0,1757.0,0.5509,973.0,1756.0,0.5541,1046.0,1747.0,0.5987
30,新竹縣,竹北市,文化里,1310,2344027,1789,1099,775.0,1498.0,0.5174,917.0,1499.0,0.6117,944.0,1497.0,0.6306,903.0,1500.0,0.602
31,臺南市,東區,裕聖里,1782,2817373,1581,1097,1050.0,2110.0,0.4976,1077.0,2106.0,0.5114,1086.0,2111.0,0.5144,1079.0,2108.0,0.5119
32,臺北市,大安區,光明里,1297,2246154,1732,1096,782.0,1466.0,0.5334,824.0,1468.0,0.5613,831.0,1472.0,0.5645,827.0,1466.0,0.5641
33,臺中市,西屯區,惠來里,5709,11409479,1999,1092,3286.0,6200.0,0.53,3281.0,6210.0,0.5283,3338.0,6213.0,0.5373,3243.0,6197.0,0.5233
34,臺北市,中正區,新營里,3060,5043797,1648,1087,1893.0,3274.0,0.5782,1954.0,3275.0,0.5966,2037.0,3279.0,0.6212,1977.0,3276.0,0.6035
35,臺北市,大安區,龍門里,1555,2767534,1780,1085,960.0,1840.0,0.5217,999.0,1848.0,0.5406,1002.0,1845.0,0.5431,1002.0,1847.0,0.5425
36,新竹市,東區,仙宮里,498,795374,1597,1080,323.0,579.0,0.5579,339.0,583.0,0.5815,353.0,583.0,0.6055,336.0,576.0,0.5833
37,臺北市,北投區,永欣里,3046,5683140,1866,1066,1683.0,3254.0,0.5172,1720.0,3259.0,0.5278,1756.0,3250.0,0.5403,1734.0,3251.0,0.5334
38,新竹市,東區,新莊里,2198,3470267,1579,1063,1292.0,2304.0,0.5608,1342.0,2315.0,0.5797,1402.0,2322.0,0.6038,1332.0,2303.0,0.5784
39,高雄市,左營區,永清里,241,259298,1076,1061,133.0,189.0,0.7037,135.0,189.0,0.7143,129.0,189.0,0.6825,135.0,189.0,0.7143
40,桃園市,中壢區,金華里,1690,2700808,1598,1061,1260.0,2073.0,0.6078,1292.0,2077.0,0.6221,1322.0,2076.0,0.6368,1312.0,2075.0,0.6323
41,臺北市,南港區,重陽里,1990,3541690,1780,1059,1158.0,2102.0,0.5509,1201.0,2110.0,0.5692,1238.0,2106.0,0.5878,1186.0,2100.0,0.5648
42,臺北市,中山區,金泰里,2830,5937431,2098,1058,1520.0,2896.0,0.5249,1570.0,2898.0,0.5418,1588.0,2882.0,0.551,1571.0,2889.0,0.5438
43,臺北市,大安區,錦華里,2052,3539366,1725,1051,1312.0,2362.0,0.5555,1363.0,2365.0,0.5763,1403.0,2361.0,0.5942,1358.0,2359.0,0.5757
44,新北市,新店區,中山里,1705,2888019,1694,1049,1565.0,2324.0,0.6734,1603.0,2327.0,0.6889,1643.0,2324.0,0.707,1617.0,2313.0,0.6991
45,臺南市,東區,文聖里,1672,2426100,1451,1048,892.0,1953.0,0.4567,907.0,1956.0,0.4637,966.0,1960.0,0.4929,919.0,1954.0,0.4703
46,臺北市,松山區,龍田里,3630,5751475,1584,1045,2742.0,4266.0,0.6428,2809.0,4263.0,0.6589,2847.0,4277.0,0.6657,2820.0,4242.0,0.6648
47,臺北市,南港區,三重里,2801,5225294,1866,1045,1397.0,2705.0,0.5165,1457.0,2700.0,0.5396,1489.0,2702.0,0.5511,1450.0,2696.0,0.5378
48,臺北市,大安區,和安里,2427,4353291,1794,1041,1478.0,2631.0,0.5618,1498.0,2628.0,0.57,1558.0,2632.0,0.5919,1511.0,2629.0,0.5747
49,嘉義縣,朴子市,仁和里,738,1063803,1441,1041,265.0,670.0,0.3955,288.0,671.0,0.4292,302.0,669.0,0.4514,296.0,670.0,0.4418
50,臺北市,大安區,錦泰里,1319,2181234,1654,1039,861.0,1496.0,0.5755,914.0,1494.0,0.6118,921.0,1495.0,0.6161,916.0,1491.0,0.6144
51,新竹縣,竹北市,竹北里,2551,3726773,1461,1034,1725.0,2899.0,0.595,1772.0,2896.0,0.6119,1791.0,2896.0,0.6184,1741.0,2902.0,0.5999
52,新竹市,東區,親仁里,665,1208596,1817,1034,320.0,539.0,0.5937,310.0,538.0,0.5762,326.0,535.0,0.6093,310.0,535.0,0.5794
53,新北市,林口區,南勢里,7085,10578817,1493,1032,4598.0,8650.0,0.5316,4745.0,8653.0,0.5484,4930.0,8639.0,0.5707,4714.0,8644.0,0.5453
54,臺北市,松山區,中正里,3471,5786935,1667,1026,1654.0,3460.0,0.478,1714.0,3465.0,0.4947,1765.0,3468.0,0.5089,1726.0,3458.0,0.4991
55,臺南市,北區,華德里,1258,1691920,1345,1019,565.0,1566.0,0.3608,624.0,1568.0,0.398,648.0,1565.0,0.4141,605.0,1557.0,0.3886
56,臺北市,中正區,南福里,3706,6110280,1649,1019,2364.0,4408.0,0.5363,2476.0,4416.0,0.5607,2499.0,4413.0,0.5663,2454.0,4410.0,0.5565
57,桃園市,蘆竹區,羊稠里,1791,2636149,1472,1018,932.0,1917.0,0.4862,955.0,1911.0,0.4997,986.0,1915.0,0.5149,966.0,1912.0,0.5052
58,臺北市,大安區,福住里,2276,3835015,1685,1017,1221.0,2381.0,0.5128,1269.0,2377.0,0.5339,1284.0,2372.0,0.5413,1266.0,2371.0,0.534
59,高雄市,前鎮區,建隆里,442,835482,1890,1016,263.0,585.0,0.4496,265.0,584.0,0.4538,266.0,586.0,0.4539,255.0,583.0,0.4374
60,臺北市,大安區,龍安里,2342,4231126,1807,1012,1235.0,2440.0,0.5061,1293.0,2447.0,0.5284,1331.0,2437.0,0.5462,1295.0,2438.0,0.5312
61,臺北市,松山區,中華里,2325,4211157,1811,1005,1435.0,2635.0,0.5446,1488.0,2642.0,0.5632,1493.0,2639.0,0.5657,1486.0,2635.0,0.5639
62,臺北市,中正區,建國里,557,860317,1545,1004,319.0,562.0,0.5676,333.0,562.0,0.5925,333.0,564.0,0.5904,330.0,564.0,0.5851
63,高雄市,鼓山區,龍水里,8945,13151449,1470,1003,4466.0,9776.0,0.4568,4518.0,9781.0,0.4619,4602.0,9796.0,0.4698,4590.0,9772.0,0.4697
64,臺北市,中山區,永安里,3515,6266844,1783,1002,1979.0,3811.0,0.5193,1998.0,3828.0,0.5219,2060.0,3822.0,0.539,1993.0,3802.0,0.5242
65,臺北市,大安區,仁愛里,2059,4153950,2017,1000,1012.0,1910.0,0.5298,1019.0,1916.0,0.5318,1032.0,1914.0,0.5392,1015.0,1914.0,0.5303
66,臺北市,大安區,龍坡里,2100,3355350,1598,998,1261.0,2339.0,0.5391,1312.0,2353.0,0.5576,1378.0,2355.0,0.5851,1323.0,2345.0,0.5642
67,雲林縣,虎尾鎮,平和里,1474,1717529,1165,997,847.0,1622.0,0.5222,873.0,1622.0,0.5382,850.0,1623.0,0.5237,853.0,1620.0,0.5265
68,新竹市,北區,湳中里,2654,3973342,1497,995,1663.0,2963.0,0.5613,1732.0,2962.0,0.5847,1753.0,2961.0,0.592,1725.0,2963.0,0.5822
69,臺北市,大安區,敦安里,2334,4242354,1818,995,1222.0,2345.0,0.5211,1264.0,2351.0,0.5376,1310.0,2361.0,0.5548,1270.0,2353.0,0.5397
70,臺北市,大安區,民炤里,3063,5999670,1959,992,1671.0,3229.0,0.5175,1715.0,3224.0,0.5319,1758.0,3233.0,0.5438,1719.0,3219.0,0.534
71,新竹市,香山區,東香里,1536,2411204,1570,991,1030.0,1811.0,0.5687,1064.0,1812.0,0.5872,1041.0,1804.0,0.5771,1054.0,1806.0,0.5836
72,新竹市,東區,金山里,1927,3103711,1611,991,1311.0,2134.0,0.6143,1337.0,2145.0,0.6233,1367.0,2142.0,0.6382,1303.0,2134.0,0.6106
73,臺北市,大安區,龍淵里,3240,4839859,1494,990,1955.0,3680.0,0.5312,2038.0,3685.0,0.5531,2094.0,3683.0,0.5686,2038.0,3681.0,0.5537
74,臺北市,信義區,安康里,3832,8391668,2190,987,2093.0,3903.0,0.5363,2146.0,3915.0,0.5481,2186.0,3911.0,0.5589,2137.0,3899.0,0.5481
75,臺北市,大安區,錦安里,2154,4024522,1868,985,1286.0,2353.0,0.5465,1332.0,2357.0,0.5651,1367.0,2355.0,0.5805,1338.0,2354.0,0.5684
76,臺北市,松山區,精忠里,1577,2562417,1625,982,953.0,1781.0,0.5351,980.0,1779.0,0.5509,997.0,1784.0,0.5589,975.0,1772.0,0.5502
77,臺南市,東區,關聖里,1623,2355314,1451,978,988.0,2074.0,0.4764,1034.0,2076.0,0.4981,1037.0,2076.0,0.4995,1009.0,2069.0,0.4877
78,臺北市,內湖區,清白里,3241,5429764,1675,978,1920.0,3530.0,0.5439,1985.0,3536.0,0.5614,2015.0,3534.0,0.5702,1998.0,3537.0,0.5649
79,新竹市,北區,大鵬里,119,132481,1113,976,161.0,363.0,0.4435,175.0,364.0,0.4808,187.0,364.0,0.5137,176.0,364.0,0.4835
80,新北市,板橋區,和平里,1302,1687017,1296,973,769.0,1403.0,0.5481,796.0,1401.0,0.5682,821.0,1402.0,0.5856,792.0,1400.0,0.5657
81,臺北市,大安區,永康里,1365,2133014,1563,972,761.0,1431.0,0.5318,805.0,1433.0,0.5618,833.0,1433.0,0.5813,804.0,1432.0,0.5615
82,新竹市,東區,育賢里,338,574430,1699,970,260.0,457.0,0.5689,256.0,455.0,0.5626,258.0,457.0,0.5646,254.0,454.0,0.5595
83,臺北市,大安區,龍生里,2387,3988748,1671,970,1553.0,2747.0,0.5653,1625.0,2758.0,0.5892,1630.0,2760.0,0.5906,1607.0,2751.0,0.5842
84,臺北市,中正區,文北里,2153,5198472,2415,968,1185.0,2296.0,0.5161,1234.0,2303.0,0.5358,1263.0,2300.0,0.5491,1234.0,2290.0,0.5389
85,新北市,板橋區,福丘里,1806,3018264,1671,966,1050.0,2003.0,0.5242,1075.0,1996.0,0.5386,1118.0,2005.0,0.5576,1084.0,2008.0,0.5398
86,臺南市,永康區,東橋里,2594,3333586,1285,964,1028.0,2801.0,0.367,1079.0,2796.0,0.3859,1120.0,2798.0,0.4003,1081.0,2798.0,0.3863
87,臺北市,中正區,文祥里,2801,4468052,1595,963,1602.0,3067.0,0.5223,1684.0,3073.0,0.548,1688.0,3074.0,0.5491,1678.0,3069.0,0.5468
88,新竹市,東區,武功里,1411,1955116,1386,963,1531.0,2042.0,0.7498,1557.0,2040.0,0.7632,1570.0,2042.0,0.7689,1587.0,2038.0,0.7787
89,桃園市,桃園區,同德里,2231,3118500,1398,960,1405.0,2582.0,0.5442,1468.0,2587.0,0.5675,1475.0,2589.0,0.5697,1458.0,2584.0,0.5642
90,臺北市,大安區,建倫里,2319,4386578,1892,959,1231.0,2267.0,0.543,1246.0,2267.0,0.5496,1247.0,2265.0,0.5506,1240.0,2265.0,0.5475
91,臺北市,大安區,敦煌里,2261,3637929,1609,956,1229.0,2336.0,0.5261,1242.0,2342.0,0.5303,1290.0,2343.0,0.5506,1252.0,2338.0,0.5355
92,連江縣,東引鄉,樂華村,248,259342,1046,954,253.0,295.0,0.8576,260.0,294.0,0.8844,258.0,293.0,0.8805,265.0,295.0,0.8983
93,臺中市,南屯區,三和里,3117,4298355,1379,953,2101.0,3776.0,0.5564,2142.0,3784.0,0.5661,2198.0,3778.0,0.5818,2095.0,3779.0,0.5544
